1,В какую из этих игр играют не клюшкой?,Бильярд
2,В каком городе не работал великий композитор 18-го века Кристоф Виллибальд Глюк?,Берлин
3,Кто первым доказал периодичность появления комет?,Галлей
4,"Про какую летнюю погоду говорят ""Вёдро"" ?",Сухая ясная
5,Сколько человек находится одновременно на площадке при игре в пляжный волейбол?,Четыре
6,С какой из этих стран Чехия не граничит?,Венгрия
7,Где в основном проживают таты?,Дагестан
8,"Как, в переводе на русский язык, звучало бы название фильма 'Мимино'?",Сокол
9,"Как называется курс парусного судна, совпадающий с направлением ветра?",Фордевинд
10,"На вершине какой горы расположена сорокаметровая статуя Христа, являющаяся символом Рио-де-Жанейро?",Корковадо
11,"Какое брюхо, согласно спорной русской пословице, глухо к ученью?",Сытое
12,Благодаря какому животному Шурик познакомился с Ниной в к/ф 'Кавказская пленница'?,Осел
13,Что из этого является видом ткани?,Креп-жоржет
14,Как называется комедия В. В. Маяковского?,Клоп
15,Кто является чемпионом гонок 'Формулы-1' 1998-99 г.г.?,Хаккинен
16,Чье произведение легло в основу оперы Дж. Верди 'Травиата'?,А.Дюма-сына
17,Какой из этих городов - родина Казановы?,Венеция
18,Кто считается основоположником кубизма?,П. Пикассо
19,Территория какой из этих стран - наибольшая?,Япония
20,Какая из этих кислот является витамином?,Никотиновая
21,Какая очередность этих трех букв в русском алфавите правильная?,Ъ Ы Ь
22,Какая березка стояла во поле?,Кудрявая
23,Кто из этих знаменитых людей не является тезкой остальных?,Лужков
24,Какой ресторан находится на углу Старого и Нового Арбата?,Прага
25,Какой вид березы славится красивой древесиной?,Карельская
26,Какая поэма есть у В. В. Маяковского?,"""Флейта-позвоночник"""
27,Какая из этих рек впадает в Азовское море?,Дон
28,Кто из этих великих футболистов прошлого был защитником?,Беккенбауэр
29,Какую икру больше всего любил Джеймс Бонд?,Белужью
30,"Какой цвет волос был у возлюбленной Тристана Изольды, если верить Бедье?",Белокурый
31,У автомобилей какой из этих стран международный регистрационный знак DZ?,Алжир
32,Одним из направлений какой религиозной философии является учение дзен?,Буддизм
33,В каком городе в 1932 году был проведён первый международный кинофестиваль? ,Венеция
34,С какой фигуры начинаются соревнования по городошному спорту?,Пушка
35,Сколько раз в сутки подзаводят часы на Спасской башне московского Кремля?,Два
36,Кто получил первую Нобелевскую премию по литературе?,Поэт
37,"С какой буквы начинаются слова, опубликованные в 16 м томе последнего издания Большой Советской энциклопедии?",М
38,Кто из перечисленных был пажом во времена Екатерины II?,А. Н. Радищев
39,Какой химический элемент был назван в честь злого подземного гнома? ,Кобальт
40,"Как назвали первую кимберлитовую трубку, открытую Ларисой Попугаевой 21 августа 1954 года?",«Зарница»
41,В честь какого растения область Фриули-Венеция-Джулия в Италии ежегодно проводит трёхмесячный фестиваль?,спаржа
42,"Как ""в народе"" называют химическое соединение - тринитротолуол?",Тротил
43,"У кого из ""вампиров"" кровь пьют только самки?",Комары
44,В каком российском городе к его 300-летию был открыт памятник Зайцу?,Санкт-Петербург
45,Для чего зайцу его большие уши?,"Они как рупоры, зайцу слышны даже самые тихие шорохи"
46,Что обычно охотники замечают за зайцем?,Он барабанит
47,Что при травле зайца кричали охотники?,«Ату!»
48,Какого зайца НЕ бывает?,Чувак
49,Кто такой агути?,Горбатый заяц
50,Заячьей картошкой в народе называют:,Гриб дождевик
51,"В русских сказках лисичка-сестричка, коза-дереза, а зайчик-... Кто?",Побегайчик
52,Какая российская автономия полностью окружена Краснодарским краем?,Адыгея
53,"Где жил старик со своею старухой из сказки А.С. Пушкина ""Сказка о рыбаке и рыбке""?",в землянке
54,"Какой рыболовной снастью ловил рыбу старик из сказки А.С. Пушкина ""Сказка о рыбаке и рыбке""?",Невод
55,"За какую плату работал Балда у попа в сказке А.С. Пушкина ""Сказка о попе и работнике его Балде""?",Три щелчка по лбу
56,Кто такая Арина Радионовна?,Няня Пушкина
57,"Сколько лет рыбачил старик из сказки А.С.Пушкина ""Сказка о рыбаке и рыбке""?",33
58,"Какую позицию на поле называют ""голкипер""?",Вратарь
59,Официальный язык государства Израиль?,Иврит
60,Как называется детеныш норки?,Щенок
61,В артериях кровь движется...?,От сердца к органам
62,От какого дерева появляются желуди?,Дуб
63,Где муха-цокотуха нашла денежку?,В поле
64,"Как звали крысу в сказке ""Золотой ключик""?",Шушара
65,Маленький мук из сказки был...?,Карликом
66,"Чем промышлял Дуремар из сказки ""Золотой ключик""?",Пиявками
67,Где сидит Доктор Айболит?,Под деревом
68,Что такое обувница?,Предмет мебели для обуви
69,Корюшка - это...,Рыбка
70,В какое море впадает Жёлтая река?,Жёлтое море
71,Кто был главным врагом трех поросят?,Волк
72,"Какая планета совершает 1 оборот вокруг солнца со скоростью 47,9 км/с",Меркурий
73,Какого города нет в Казахстане?,Самарканд
74,Кем по образованию был Антон Павлович Чехов?,Врач
75,Какой из театров Москвы носит имя А.П. Чехова?,МХАТ (МХТ)
76,Как звали тонкого в рассказе А.П. Чехова «Толстый и тонкий»?,Порфирий
77,Кому из обитателей палаты №6 в одноименном рассказе А.П.Чехова разрешалось выходить из флигеля и больничного двора на улицу?,Моисейке
78,Сестры с каким именем не было среди героинь чеховских «Трёх сестёр»?,Анна
79,Какой из этих литературных шедевров с четвероногими героями принадлежит перу А.П. Чехова?,«Каштанка»
80,Рассказ А.П.Чехова о несчастном ревматике.,Сапоги
81,В какой пьесе А.П. Чехова герой обращался к шкафу с эпитетом «многоуважаемый»?,«Вишневый сад»
82,В каком итальянском городе была выведена известная порода комнатных собак?,Болонья
83,Какая рыба является самым крупным пресноводным хищником?,Cом
84,В какую из этих женщин был влюблён И.С.Тургенев?,Полина Виардо
85,Президент какой республики в 1996 году был избран президентом ФИДЕ?,Калмыкии
86,Как звали младшего сына легендарного комдива Василия Ивановича Чапаева?,Аркадий
87,Чему равна сумма чисел от 0 до 100 включительно?,5050
88,Какой буквой физики обозначают ускорение свободного падения?,g
89,Кто из этих российских императоров и императриц правил раньше остальных?,Анна Иоановна
90,Как называл народ медную монету в 3 копейки после 40 годов XIX века?,Гривенный
91,На борту какого линкора ВМФ США был подписан акт о капитуляции Японии во второй мировой войне?,"""Миссури"""
92,"Из произведений какого писателя физики заимствовали слово ""кварк""?",Джеймс Джойс
93,Какой европейский город раньше носил название Лютеция?,Париж
94,"Сенатором какого штата был Ал Гор до того, как стал вице-президентом США?",Теннесси
95,В какие годы строился Колизей?,72-80
96,Изобретатель тачки?,Паскаль
97,"Назовите греческого атлета, выигравшего марафон на Первой Олимпиаде нашего времени.",Луис
98,"Кого из российских правителей называли ""русским Гамлетом""     ",Павел
99,Что из перечисленного является единственным колониальным владением Британии в Европе?,Гибралтар
100,Облик какой женщины дошёл до наших дней благодаря скульптору Тутмесу?,Нефертити
101,"Кто из этих известных актеров и режиссеров, народных артистов СССР, стал министром культуры своей страны?",Богдан Ступка
102,Кто из этих людей не был писателем ?  A: Во B: Ге C: Ле D: По ,Ге
103,Кто стал самым молодым маршалом Советского Союза в истории СССР?  ,М.Н.Тухачевский
104,Какой из этих городов до воссоединения Германии был в составе ГДР?  A: Трир B: ВейБрауншвейгмар C:  D: Ганновер ,Веймар
105,Как назывался первый атомный ледокол СССР?,Ленин
106,В какой стране на население наводили ужас тонтон-макуты?,Гаити
107,Как называлась столица государства ацтеков?,Теночтитлан
108,Назовите административный центр (столицу) штата Флорида,Таллахасси
109,Какое российское флотское звание было у Витуса Беринга?,Капитан-командор
110,Что означает количество пятнышек у божьей коровки?,Вид
111,Какая пара этих знаменитых писателей состоит из родных братьев?  ,Генрих и Томас Манны
112,Кому и в какой глаз впился князь Гвидон в образе комара?,Поварихе в правыйихе в правый
113,"Игроков какой команды называют ""армейцами""","""ЦСКА"""
114,К какому семейству рыб принадлежит пескарь?,Карповые
115,Кто из этих астрономов 1 ноября 1977 года открыл Хирон - малую планету Солнечной системы?,Чарльз Коуэл
116,Кто из этих русских писателей прожил самую долгую жизнь?,И. А. Бунин
117,"При введении в России табели о рангах право на личное дворянство имели даже чиновники низшего, 14-го класса. А с какого класса это право сохранилось после 1845 г.?",9
118,Какой советский орден был инкрустирован бриллиантами?,Орден Победы
119,Под каким названием всему миру была известна разведслужба бывшей ГДР?,ШТАЗИ
120,Сказочный Доктор?,Айболит
121,Куда отправляет Военкомат?,Служить
122,Во время исторического полёта Юрий Гагарин был одет в костюм «СК-1». Что обозначают эти буквы?,Скафандр космонафта
123,Сколько циферблатов у курантов Спасской башни?,4
124,"Что было изображено на торте, который в начале войны преподнесли Адольфу Гитлеру на день рождения?",Кремль
125,За какую команду гонок Формулы-1 выступает Михаил Шумахер?,Mercedes GP
126,"Какая из этих пород уток является яичной, а не мясной? ",Индийские бегуны
